number,quote
25,"Weve found a man who went in and bought some tobacco at 5:30. And a second man went in and found the shop empty, as he thought, at five minutes past six. That puts the time at between 5:30 and 6:5. So far I havent been able to find anyone who saw this man Ascher in the neighbourhood, but, of course, its early as yet. He was in the Three Crowns at nine oclock pretty far gone in drink. When we get hold of him hell be detained on suspicion."
26,"No. Theres a niece. Shes in service near Overton. Very superior, steady young woman."
27,"It is your opinion, inspector, that this man Ascher committed the crime?"
28,"Thats what Dr. Kerr says. Im glad it was that way, poor old soul. A decent woman she was."
29,"But yes, look at the line of the jaw, the bones, the moulding of the head."
30,"You perceive, Hastings, that we have already one further point in favour of Aschers innocence. If he had been abusing his wife and threatening her, she would have been facing him over the counter. Instead she had her back to her assailant—obviously she is reaching down tobacco or cigarettes for a customer."
31,"Ah! I think it is you who are Miss Mary Drower, the parlour-maid here?"
32,"They said I must come to the inquest—thats on Monday, sir. But Ive nowhere to go there—I couldnt fancy being over the shop—now—and what with the housemaid being away, I didnt want to put the mistress out more than may be."
33,"Indeed I was, sir. Very good shes been to me always, auntie has. I went to her in London when I was eleven years old, after mother died. I started in service when I was sixteen, but I usually went along to aunties on my day out. A lot of trouble she went through with that German fellow. My old devil, she used to call him. Hed never let her be in peace anywhere. Sponging, cadging old beast."
34,"Shed a little in the Savings Bank, sir—enough to bury her proper, thats what she always said. Otherwise she didnt more than just make ends meet—what with her old devil and all."
35,At present one is in the dark—there is no direction—if things get clearer—
36,"The whole place was examined straight away, sir. There werent none."
37,"A long sight too many, sir! All confused and jumbled up."
38,"Yes, sir, you go through that door at the back, sir. Youll excuse me not coming with you, but Ive got to stay—"
39,"Regard, Hastings, did I not tell you that she had been a beautiful woman?"
40,"It would be as well if some of that gaping crowd cleared off. What is there to look at, Id like to know?"
41,"Possibly you even observed the murderer enter the shop—a tall, fair man with a beard, was he not? A Russian, so I have heard."
42,"Well, I dont get much chance of noticing, and thats a fact. The evenings our busy time and theres always a fair few passing along and getting home after their work. A tall, fair man with a beard—no, I cant say I saw anyone of that description anywhere about."
43,I think you have been misinformed. A short dark man I was told.
44,"To Let sign appeared in the windows. On the other side was a house with somewhat grimy muslin curtains. The door was opened after some delay by a very dirty child with a nose that needed attention. Good evening,"
45,"I am sure Im sorry I spoke so sharp just now, but youd hardly believe the worry one has to put up with—fellows coming along selling this, that and the other—vacuum cleaners, stockings, lavender bags and such-like foolery—and all so plausible and civil spoken. Got your name, too, pat they have. Its Mrs. Fowler this, that and the other."
46,"Well, Mrs. Fowler, I hope youre going to do what I ask."
47,"Nobody saw this man Ascher go into the shop, I believe?"
48,"No, they dont. And thats another point in his favour. Ive just told the Chief Constable that I think this is a job for Scotland Yard. I dont believe its a local crime."
49,
50,"From Inspector Glen? What can I do for you, Mr."
51,Many people may have made purchases from Mrs. Ascher after I did so.
52,Certainly I did. As soon as I heard of the shocking occurrence I perceived that my statement might be helpful and came forward accordingly.
53,Perhaps you will be so kind as to repeat your story to me.
54,"As far as I noticed, she seemed exactly as usual,"
55,"Thank you, Mr. Partridge, for answering these questions. Have you, by any chance, an A B C in the house? I want to look up my return train to London."
56,"Whats it to do with me, anyway? Told it to the blarsted police, I ave, and now Ive got to spit it all out again to a couple of blarsted foreigners."
57,"In truth I sympathize with you, but what will you? It is a question of murder, is it not? One has to be very, very careful."
58,Why the hell should I? It were no business of mine.
59,There has been a murder—the police want to know who has been in the shop—I myself think it would have—what shall I say?—looked more natural if you had come forward.
60,I demand only your account of your visit. That you refuse it seems to me—what shall we say—a little odd?
61,was committed by a man of medium height with red hair and a cast in the left eye. He limps slightly on the right foot and has a mole just below the shoulder blade.
62,"Mon ami, what will you? You fix upon me a look of dog-like devotion and demand of me a pronouncement à la Sherlock Holmes! Now for the truth—I do not know what the murderer looks like, nor where he lives, nor how to set hands upon him."
63,Does this mean that this fiend is going to attempt another crime?
64,"Its difficult, sir. Theres not the least clue towards whom the victim may be. Speaking fair and square, what steps can we take?"
65,I think it possible that the surname of the intended victim will begin with the letter B.
66,"As a matter of fact—my last case—I dont know whether you read about it—the Mabel Homer case, the Muswell Hill schoolgirl, you know—that man Capper was extraordinary. Amazingly difficult to pin the crime on to him—it was his third, too! Looked as sane as you or I. But there are various tests—verbal traps, you know—quite modern, of course, there was nothing of that kind in your day. Once you can induce a man to give himself away, youve got him! He knows that you know and his nerve goes. He starts giving himself away right and left."
67,"Strangled with her own belt—a thick, knitted affair, I gather."
68,"At last we have a piece of information that is very definite. That tells one something, does it not?"
69,"Terrible shock to them, of course. I left them to recover a bit before questioning them, so you can start from the beginning there."
70,"Theres a sister—a typist in London. Shes been communicated with. And theres a young man—in fact, the girl was supposed to be out with him last night, I gather."
71,Theres the café and theres the girls home. Id better go to both of them. Kelsey can come with me.
72,Mr. I expect hed like to see it.
73,And this is Mr.
74,"Come into the snuggery. I dont know that my poor wifes up to seeing you. All broken up, she is."
75,"Somehow, I dont see what M."
76,What you do not see and what I do not see would probably fill a volume. But all that is of no practical importance. What is of practical importance is something that will not be easy to find.
77,"I will help you. I heard what you said to Hastings. That your sister was a bright, happy girl with no men friends. It was—un peu—the opposite that was true, was it not?"
78,"Wait, mademoiselle. I have something to tell you. Come back."
79,"Then let us continue our conversation. I have formed the idea that this Donald Fraser has, perhaps, a violent and jealous temper, is that right?"
80,It was just that attitude of mind of hers that Don couldnt understand. If she was really keen on him he couldnt see why she wanted to go out with other people. And once or twice they had flaming big rows about it.
81,"Just so. And I may say, mademoiselle, that but for the egoistical vanity of a killer, that is just what would have happened. If Donald Fraser escapes suspicion, it will be thanks to A B Cs maniacal boasting."
82,I would like a word with him before our good inspector takes him in hand.
83,Betty Barnard was killed by a homicidal murderer. Only by speaking the exact truth can you help us to get on his track.
84,"I believed her when she said it. Never thought of doing anything else. Afterwards—perhaps it was something in her manner. I—I, well, I began to wonder."
85,"While you pursued your investigations upstairs I have been conversing with Miss Barnard and Mr. Fraser, endeavouring if I could to find something that will throw light upon the matter."
86,A cleft stick—eh? How many crimes do you think this—lunatic has in mind?
87,he wont get there. Not nearly. Youll have him by the heels long before that. Interesting to know how hed have dealt with the letter X.
88,"Which letter of the alphabet do you place it at, inspector?"
89,"Well, you seem to be doing all that can be done, Crome,"
90,"What do you say, M. Does any line of inquiry suggest itself to you?"
91,It seems to me that there is one very important clue—the discovery of the motive.
92,"Isnt that pretty obvious? An alphabetical complex. Isnt that what you called it, doctor?"
93,There is an alphabetical complex. But why an alphabetical complex? A madman in particular has always a very strong reason for the crimes he commits.
94,Look at Stoneman in 1929. He ended by trying to do away with anyone who annoyed him in the slightest degree.
95,"I see what youre driving at, but Im not quite clear yet."
96,"it is there, in those questions, that the solution lies. If we knew the exact reason—fantastic, perhaps, to us—but logical to him—of why our madman commits these crimes, we should know, perhaps, who the next victim is likely to be."
97,"I said—the magnanimous murderer! Franz Ascher would have been arrested for the murder of his wife—Donald Fraser might have been arrested for the murder of Betty Barnard—if it had not been for the warning letters of A B C. Is he, then, so soft-hearted that he cannot bear others to suffer for something they did not do?"
98,"It has come? Open it, Hastings. Quickly. Every moment may be needed. We must make our plans."
99,"Vous éprouvez trop démotion, Hastings. It affects your hands and your wits. Is that a way to fold a coat? And regard what you have done to my pyjamas. If the hairwash breaks what will befall them?"
100,this is a matter of life and death. What does it matter what happens to our clothes?
101,No news as yet. All men available are on the lookout. All persons whose name begins with C are being warned by phone when possible. Theres just a chance. Wheres the letter?
102,No. Hes got his rules—crazy rules—and abides by them. Fair warning. He makes a point of that. Thats where his boastfulness comes in. I wonder now—Id almost bet the chap drinks White Horse whisky.
103,He prints the letter and the bottle is in front of him.
104,Its about as bad as it can be. Sir Carmichael Clarke has been found with his head bashed in.
105,It is possible that publicity may do what private efforts have failed to do. The whole country now will be looking for A B C.
106,"No, no, I do not agree with you. Its infinitely more frightening."
107,"It should be easier to discover because it is mad. A crime committed by someone shrewd and sane would be far more complicated. Here, if one could but hit on the idea…This alphabetical business, it has discrepancies. If I could once see the idea—then everything would be clear and simple…."
108,"Quite frankly, I should have jumped to the conclusion that it was suicide,"
109,A fact that repeats itself. It is of no matter.
110,"Not exactly hanging about. Of course, there are a lot of people what you might call wandering about at this time of year. One often meets people strolling with an aimless look across the golf links or down the lanes to the sea. In the same way, practically everyone one sees this time of year is a stranger."
111,Looks as though he knows everything—and what does he know? Nothing at all as far as I can make out.
112,"But do not worry yourself. All this is of no importance. These imbecilities, even, may help."
113,"If our madman reads what I am supposed to have said to the Daily Blague today, he will lose all respect for me as an opponent!"
114,Alas! I have shocked you. First my inertia—and then my views.
115,"I have one project that will please you—since it is active and not passive. Also, it will entail a lot of conversation and practically no thought."
116,"Ive no doubt that Crome is a very efficient officer, but, frankly, he puts my back up. That air of his of knowing best! I hinted something of what I had in mind to your friend here when he was down at Churston, but Ive had all my brothers affairs to settle up and I havent been free until now. My idea is, M."
117,What youve been saying. Its just words. It doesnt mean anything.
118,I think the principle of talking things over is always sound.
119,"that you all go over your own remembrances of the time preceding the murder. Perhaps youll start, Mr. Clarke."
120,"The gardener watering…Going to the post? Nearly ran down a bicyclist—silly woman wobbling and shouting to a friend. Thats all, Im afraid."
121,"I did correspondence with Sir Carmichael in the morning—saw the housekeeper. I wrote letters and did needlework in the afternoon, I fancy. It is difficult to remember. It was quite an ordinary day. I went to bed early."
122,Miss Barnard—can you bring back your remembrances of the last time you saw your sister?
123,"She didnt mention any man—forgive me, Mr. Fraser—she might be meeting?"
124,"I think that when the moment comes—that is, when the fourth letter arrives—we ought to join forces. Until then, perhaps we might each try our luck on our own. I dont know whether there are any points M."
125,"Tout de même, I do not think there is much you can do down there for the present,"
126,"Miss Grey very kindly stayed on to help me clear up things,"
127,Good. Ill let nurse know and shell arrange the dope accordingly.
128,I think you might perhaps do good work in Andover. Try the children.
129,It can do no harm to try. I think myself that A B C will be too cunning to reply.
130,"The human drama, Hastings! Reflect a little minute. Here are three sets of human beings brought together by a common tragedy. Immediately a second drama commences—tout à fait à part. Do you remember my first case in England? Oh, so many years ago now. I brought together two people who loved one another—by the simple method of having one of them arrested for murder! Nothing less would have done it! In the midst of death we are in life, Hastings…Murder, I have often noticed, is a great matchmaker."
131,Im sure none of those people was thinking of anything but—
132,What could be more revealing? Mais je crois que la blonde lemporte sur la brunette!
133,"Cest tout naturel. Did you observe how Franklin Clarke was suddenly at one and in sympathy with Mademoiselle Megan? How he leaned forward and looked at her? And did you also notice how very much annoyed Mademoiselle Thora Grey was about it? And Mr. Donald Fraser, he—"
134,"That is the last thing my mind is. You are the sentimental one, Hastings."
135,"I had no idea Lady Clarke disliked me so much. In fact, I always thought she was rather fond of me."
136,"She is an angel, is she not? From Eden, by way of Sweden…."
137,I am Nurse Capstick. I got Mr. Clarkes letter saying you were coming.
138,"Yes—it was good of you to come. I told Franklin. He said he wouldnt forget to tell you. I hope Franklin isnt going to be foolish…hes so easily taken in, in spite of having knocked about the world so much. Men are like that…They remain boys…Franklin, in particular."
139,Yes—yes…And very chivalrous. Men are so foolish that way. Even Car—
140,Why did you say that Miss Grey was a liar?
141,"Because she is. She told you no strangers came to the house, didnt she?"
142,"Perhaps it is that I like to mount you on your romantic high horse, Hastings. You are always the true knight—ready to come to the rescue of damsels in distress—good-looking damsels, bien entendu."
143,You have come to me because there is something that you must tell to someone. You were quite right. I am the proper person. Speak!
144,"Whats the meaning of it, M. Why does it come to me? Every night…?"
145,"What does it mean? I—I didnt kill her, did I?"
146,He stooped…I dont know. I hardly looked at him. He wasnt the sort of man youd notice….
147,"You are quite right, mademoiselle. The whole secret of the murders lies there in your description of the murderer—for without a doubt he was the murderer! He wasnt the sort of man youd notice. Yes—there is no doubt about it…You have described the murderer!"
148,"Oh, a great many reasons—for one, because the red succeeds the black."
149,I speak the language of the tables. At roulette there may be a long run on the black—but in the end red must turn up. It is the mathematical laws of chance.
150,"Look here, M. You went down to Churston, I know, and saw my sister-in-law. Did she say—or hint—I mean—did she suggest at all—?"
151,"And women, even the best of them, are a bit catty about other women. Of course, Thora was invaluable to my brother—he always said she was the best secretary he ever had—and he was very fond of her, too. But it was all perfectly straight and aboveboard. I mean, Thora isnt the sort of girl—"
152,"But my sister-in-law got it into her head to be—well—jealous, I suppose. Not that she ever showed anything. But after Cars death, when there was a question of Miss Grey staying on—well, Charlotte cut up rough. Of course, its partly the illness and the morphia and all that—Nurse Capstick says so—she says we mustnt blame Charlotte for getting these ideas into her head—"
153,"I know. Thats what I keep saying to myself. One mustnt judge her. All the same, I thought Id show you this. I dont want you to get a false impression of Thora from anything Lady Clarke may have said."
154,that I never permit myself to get false impressions from anything anyone tells me. I form my own judgments.
155,"A B C down on the floor between the dead mans feet,"
156,Yes. A B Cs slipped up for once—if thats any satisfaction to us. Deceaseds a man called Earlsfield—George Earlsfield. Barber by profession.
157,"Yes, sir. Your Inspector Rice has made arrangements. The house will be watched."
158,that when A B C finds out his mistake he might try again?
159,"Think so? Well, its possible. Damn it all, hasnt anyone got eyes in their head?"
160,"You seem very confident, M. Got any reason for this optimism?"
161,"I went to the address given me by Hartigan, but found that Cust had left the house about half an hour previously. He received a telephone message, Im told. First time such a thing had happened to him, so his landlady told me."
162,"It would be the act of an imbecile to bring that back with him,"
163,"Hes quite right. Theres got to be some definite obsession. I think well find the root of the matter in an intensified inferiority complex. There may be a persecution mania, too, and if so he may possibly associate M. He may have the delusion that M."
164,"Thats the jargon thats talked nowadays. In my day if a man was mad he was mad and we didnt look about for scientific terms to soften it down. I suppose a thoroughly up-to-date doctor would suggest putting a man like A B C in a nursing home, telling him what a fine fellow he was for forty-five days on end and then letting him out as a responsible member of society."
165,"However, Im against the theory that Cust committed these crimes without knowing hed done them. You might put that theory forward if it werent for the letters. The letters knock the theory on the head. They show premeditation and a careful planning of the crime."
166,"Naturally—since they were written to me. And on the subject of the letters Cust is persistently dumb. Until I get at the reason for those letters being written to me, I shall not feel that the case is solved."
167,"Mind you, I dont believe in it, because I know it isnt true. But it is going to be the deuce to break it. This man Strange is a tough character."
168,"The type of man who would not like to admit he was mistaken,"
169,"Yes. Hes an obstinate devil. And its difficult to see just where the flaw is. Supposing Strange is making a mistake and the man wasnt Cust—why on earth should he say his name is Cust? And the writing in the hotel register is his all right. You cant say hes an accomplice—homicidal lunatics dont have accomplices! Did the girl die later? The doctor was quite firm in his evidence, and anyway it would take some time for Cust to get out of the hotel at Eastbourne without being seen and get over to Bexhill—about fourteen miles away—"
170,"Of course, strictly speaking, it oughtnt to matter. Weve got Cust on the Doncaster murder—the bloodstained coat, the knife—not a loophole there. You couldnt bounce any jury into acquitting him. But it spoils a pretty case. He did the Doncaster murder. He did the Churston murder. He did the Andover murder. Then, by hell, he must have done the Bexhill murder. But I dont see how!"
171,Cromes in a fog. Exert those cellular arrangements of yours I used to hear so much about. Show us the way he did it.
172,"Not at the moment. I require first a little more information. That I can get from our Special Legion. And then—then, when I have got the answer to a certain question, I will go and see A B C."
173,"We will talk! Je vous assure, Hastings—there is nothing so dangerous for anyone who has something to hide as conversation! Speech, so a wise old Frenchman said to me once, is an invention of mans to prevent him from thinking. It is also an infallible means of discovering that which he wishes to hide. A human being, Hastings, cannot resist the opportunity to reveal himself and express his personality which conversation gives him. Every time he will give himself away."
174,"I have finished in Bexhill. Presently I go to Eastbourne. One little inquiry there—that is all. Unnecessary for you all to accompany me. In the meantime come back to the hotel and let us have a cocktail. That Carlton tea, it was abominable!"
175,"Ah, but ladies first—this time it would not be the politeness. We will start elsewhere."
176,you may not want the truth but—ma foi—you can speak it!
177,I never wrote to you. Those letters werent written by me. Ive said so again and again.
178,An enemy. I must have an enemy. They are all against me. The police—everyone—all against me. Its a gigantic conspiracy.
179,It was just the feeling that everybody else thought me stupid. Very paralyzing. It was the same thing later in the office.
180,"I enjoyed the war. What I had of it, that was. I felt, for the first time, a man like anybody else. We were all in the same box. I was as good as anyone else."
181,"And then I got that wound on the head. Very slight. But they found out I had fits…Id always known, of course, that there were times when I hadnt been quite sure what I was doing. Lapses, you know. And of course, once or twice Id fallen down. But I dont really think they ought to have discharged me for that. No, I dont think it was right."
182,"I got a place as a clerk. Of course there was good money to be got just then. And I didnt do so badly after the war. Of course, a smaller salary…And—I didnt seem to get on. I was always being passed over for promotion. I wasnt go-ahead enough. It grew very difficult—really very difficult…. Especially when the slump came. A salary and commission!"
183,"But you are aware, are you not, that the firm whom you say employed you deny the fact?"
184,"Im perfectly innocent! Its all a mistake. Why, look at that second crime—that Bexhill one. I was playing dominoes at Eastbourne. Youve got to admit that!"
185,"But its so easy, isnt it, to make a mistake of one day? And if youre an obstinate, positive man, like Mr. Strange, youll never consider the possibility of having been mistaken. What youve said youll stick to…Hes that kind of man. And the hotel register—its very easy to put down the wrong date when youre signing it—probably no one will notice it at the time."
186,"I remember one man—Ive never forgotten him because of something he told me—we just got talking over a cup of coffee, and we started dominoes. Well, I felt after twenty minutes that Id known that man all my life."
187,"It gave me a turn—a nasty turn. Talking of your fate being written in your hand, he was. And he showed me his hand and the lines that showed hed have two near escapes of being drowned—and he had had two near escapes. And then he looked at mine and he told me some amazing things. Said I was going to be one of the most celebrated men in England before I died. Said the whole country would be talking about me. But he said—he said…."
188,"It is finished. I say no more. It is over. We pass to the next murder, that of Sir Carmichael Clarke. Here the murderer goes back to his first method—the blow on the head. The same alphabetical complex—but one fact worries me a little. To be consistent the murderer should have chosen his towns in some definite sequence. If Andover is the 155th name under A, then the B crime should be the 155th also—or it should be the 156th and the C the 157th. Here again the towns seemed to be chosen in rather too haphazard a fashion."
189,You yourself are normally methodical and orderly. Its almost a disease with you.
190,"Be quiet, mademoiselle. I am for the truth, I am! I have done with lies. Supposing, I say, that A B C did not commit the second crime. It took place, remember, in the early hours of the 25th—the day he had arrived for the crime. Supposing someone had forestalled him? What in those circumstances would he do? Commit a second murder, or lie low and accept the first as a kind of macabre present?"
191,Thats a fantastic thought! All the crimes must have been committed by the same person!
192,I had no sooner spoken to him than I was aware that Cust believed himself to be guilty.
193,"No, Mr. Clarke. You were safe enough so long as no one suspected you. Once you were suspected proofs were easy to obtain."
194,"You may have noticed I had a new manservant today—a friend of mine—an expert sneak thief. He removed your pistol from your pocket, unloaded it, and returned it, all without you being aware of the fact."
195,I warn you that anything you say may be used as evidence.
196,"You are very full of an insular superiority, but for myself I consider your crime not an English crime at all—not aboveboard—not sporting—"
197,"Your dream has a very natural explanation. It is that you find that already the image of one sister fades in your memory and that its place is taken by the other sister. Mademoiselle Megan replaces her sister in your heart, but since you cannot bear to think of yourself being unfaithful so soon to the dead, you strive to stifle the thought, to kill it! That is the explanation of the dream."
198,She was not so well worth remembering. In Mademoiselle Megan you have one in a hundred—un coeur magnifique!
199,Some of them were simplement une blague. But I learnt one thing that I wanted to know—that Franklin Clarke was in London when the first letter was posted—and also I wanted to see his face when I asked my question of Mademoiselle Thora. He was off his guard. I saw all the malice and anger in his eyes.
200,"I do not fancy you returned me a truthful answer, mademoiselle,"
201,And now your second expectation is disappointed. Franklin Clarke will not inherit his brothers money.
202,Is there any need for me to stay here and be insulted?
203,"Do you know, a newspaper has actually offered me a hundred pounds—a hundred pounds—for a brief account of my life and history—I—I really dont know what to do about it."
204,Be firm. Say five hundred is your price. And do not confine yourself to one newspaper.
205,that you are a very famous man. Practically the most famous man in England today.
206,"My fellows are good scouts at scouring the countryside and investigating Arab blood feuds, but frankly, Leidner, this business of your wifes seems to me rather out of my class. The whole thing looks confoundedly fishy. Im more than willing to have the fellow take a look at the case."
207,"I do not insult you. I merely ask you all to face facts. In a house where murder has been committed, every inmate comes in for a certain share of suspicion. I ask you what evidence is there that the murderer came from outside at all?"
208,I explain to you only how the matter must be approached. First I assure myself of the fact that everyone in this room is innocent. After that I seek the murderer elsewhere.
209,"No, Im afraid I cant. I was engrossed in my work, you see."
210,"Can you say or suggest anything at all that might throw light on this business? Did you, for instance, notice anything in the days preceding the murder?"
211,"And you, mademoiselle? Do you consider such a hypothesis feasible?"
212,"I dont. Where could anyone hide? The bedrooms are all in use and, in any case, are sparsely furnished. The darkroom, the drawing office and the laboratory were all in use the next day—so were all these rooms. There are no cupboards or corners. Perhaps, if the servants were in collusion—"
213,There is another point. The other day Nurse Leatheran here noticed you talking to a man outside. She had previously noticed that same man trying to peer in at one of the windows on the outside. It rather looks as though the man were hanging round the place deliberately.
214,"This stranger hanging about, he may be important—he may not. At any rate he must be found. Let us continue our inquiry."
215,"Well, I sent him up once or twice to the roof with pottery."
216,"It is hardly necessary to ask you, Mr. Emmott, whether you saw anyone enter or leave Mrs. Leidners room during that time?"
217,"That agrees with your estimate of the time of death, doctor?"
218,"What should I mean, madame? You have just told us how fond you were of Mrs. Leidner. She might, perhaps, have confided in you."
219,"You heard nothing else—the opening or shutting of a door, for instance?"
220,"You know, M. On thinking it over, I do not believe that I could possibly have heard any cry uttered in Mrs. Leidners room from where I was. The antika room lay between me and her—and I understand her windows were found closed."
221,"No, of course not. I understand that. But you see, it is of importance to me, because I feel I might have done something."
222,Nurse Leatheran will be so kind as to remain. I think her assistance will be valuable to us.
223,"We are now private and undisturbed. We can speak freely. We have heard what the members of the expedition have to tell us and—But yes, ma soeur, what is it that you think?"
224,Very good. Very good. You have the mind neat and orderly. You will be of great service to me here.
225,"Yes, during her lifetime. Her father left her a considerable sum of money in trust. She could not touch the principal. At her death it was to pass to any children she might have—and failing children to the Pittstown Museum."
226,"I can, I think, appreciate devotion when I see it. I believe, Dr. Leidner, that your love for your wife was the ruling passion of your life. It is so, is it not?"
227,"My friend, do not be impatient. In a case like this everything must be approached with order and method. In fact, that is my rule in every case. Having disposed of certain possibilities, we now approach a very important point. It is vital that, as you say—all the cards should be on the table—there must be nothing kept back."
228,"Yes, indeed. I cannot think of any detail that has escaped me."
229,"You have not told me, for instance, why you installed Nurse Leatheran in the house."
230,You mean to suggest that my wifes former husband is one of the expedition and that she didnt recognize him?
231,A very useful point of view. Commençons! Who could emphatically not be Frederick or William?
232,"Well, let us proceed. Under the heading of means and opportunity we have seven names. Nurse Leatheran, Miss Johnson, Mrs. Mercado, Mr. Mercado, Mr. Reiter, Mr. Emmott and Father Lavigny."
233,a murderer of the first class never wears a false beard!
234,How do you know the murderer is of the first class?
235,But its ridiculous—quite ridiculous. Both he and Mercado are well-known men. Theyve been known for years.
236,"I quite understand. Never do I wish to cause you unnecessary pain. If you will be good enough to accompany me, ma soeur."
237,But I questioned him closely and its obvious that he didnt actually change her position.
238,"She was lying on the bed, asleep or resting—someone opens the door, she looks up, rises to her feet—"
239,"that seems straightforward enough—except for one thing. If the man who entered was a stranger, why did not Mrs. Leidner cry out at once for help? If she had screamed she would have been heard. Nurse Leatheran here would have heard her, and Emmott and the boy."
240,"She may have been surprised to see the person—but she was not afraid. Then, as he struck, she may have uttered a half cry—too late."
241,"Yes. And after all, in view of the circumstances, its not fantastic. Her fear might have led her to kneel in supplication rather than to scream when her instinct would tell her it was too late—that nobody could get there in time."
242,"Presently when we have finished here and I go back with the doctor to Hassanieh we will take you with us. You will give Nurse Leatheran tea, will you not, doctor?"
243,It is a danger—yes—a great danger—and what can one do? How can one guard against it?
244,"I was only joking! Whod want to murder me, I should like to know?"
245,"Can I discuss in the presence of Dr. Leidner the motives likely to lead to the murder of his wife by a member of the expedition? That would not have been delicate at all. I had to sustain the fiction that his wife was adorable and that everyone adored her! But naturally it was not like that at all. Now we can be brutal and impersonal and say what we think. We have no longer to consider peoples feelings. And that is where Nurse Leatheran is going to help us. She is, I am sure, a very good observer."
246,"You shall tell me, ma soeur, exactly what each member of the expedition felt towards Mrs. Leidner."
247,"Quite long enough for one of your intelligence. A nurse sums up quickly. She makes her judgments and abides by them. Come, let us make a beginning. Father Lavigny, for instance?"
248,"Thats rather difficult to say, too. It wasnt easy to know what Mrs. Leidner thought of people. Sometimes, I fancy, he puzzled her. I remember her saying to Dr. Leidner that he was unlike any priest she had ever known."
249,"A length of hemp to be ordered for Father Lavigny,"
250,"Have you not, perhaps, some patients to attend? I would not for the world detain you from your professional duties."
251,We will have now an interesting conversation tête-à-tête. But you must not forget to eat your tea.
252,Can you remember—in mentioning it—did she look at you as though she wondered whether you had heard a different version?
253,"She thought you were there for some ulterior reason apart from the declared one. What reason? And why should she be so concerned in the matter. Odd, too, the way you tell me she stared at you all through tea the day you arrived."
254,"That, ma soeur, is an excuse but not an explanation."
255,"I dont think Miss Johnson liked Mrs. Leidner either very much. But she was quite open and aboveboard about it. She as good as admitted she was prejudiced. You see, shes very devoted to Dr. Leidner and had worked with him for years. And of course, marriage does change things—theres no denying it."
256,And from Miss Johnsons point of view it would be an unsuitable marriage. It would really have been much more suitable if Dr. Leidner had married her.
257,"But there, thats a man all over. Not one in a hundred considers suitability. And one cant really blame Dr. Leidner. Miss Johnson, poor soul, isnt so much to look at. Now Mrs. Leidner was really beautiful—not young, of course—but oh! I wish youd known her. There was something about her . . . I remember Mr. Coleman saying she was like a thingummyjig that came to lure people into marshes. That wasnt a very good way of putting it, but—oh, well—youll laugh at me, but there was something about her that was—well—unearthly."
258,"Then I dont think she and Mr. Carey got on very well either,"
259,"I quite understand. And the three young men? Coleman, you say, was inclined to be poetic about her."
260,I dont really know about Mr. Emmott. Hes always so quiet and never says much. She was very nice to him always. You know—friendly—called him David and used to tease him about Miss Reilly and things like that.
261,"Nurse Leatheran has been giving me valuable information about the various members of the expedition. Incidentally I have learnt a good deal—about the victim. And the victim, mademoiselle, is very often the clue to the mystery."
