number,quote
121,"""By no possible supposition could this stranger, Fitzroy Simpson, have caused curry to be served in the trainer's family that night, and it is surely too monstrous a coincidence to suppose that he happened to come along with powdered opium upon the very night when a dish happened to be served which would disguise the flavor."""
122,"""That is unthinkable. Therefore Simpson becomes eliminated from the case, and our attention centers upon Straker and his wife, the only two people who could have chosen curried mutton for supper that night."""
123,"""The opium was added after the dish was set aside for the stable-boy, for the others had the same for supper with no ill effects. Which of them, then, had access to that dish without the maid seeing them?"""
124,"""Before deciding that question I had grasped the significance of the silence of the dog, for one true inference invariably"
125,quote
126,"""So much for afternoon walks!"""
127,"""Has this gentleman gone, then?"""
128,"""You'll only need to wait a little longer,"""
129,"""Then I'll wait in the open air, for I feel half choked,"""
130,"""You'll only need to wait a little longer,"""
131,"""I'll be back before long."""
132,"""Well, well, you did your best,"""
133,"""It's very annoying, though, Watson. I was badly in need of a case,"""
134,"""Hullo! That's not your pipe on the table. He must have left his behind him."""
135,"""I wonder how many real amber mouthpieces there are in London?"""
136,"""Well, I should put the original cost of the pipe at seven and sixpence."""
137,"""Now it has, you see, been twice mended, once in the wooden stem and once in the amber."""
138,"""Each of these mends, done, as you observe, with silver bands, must have cost more than the pipe did originally."""
139,"""Pipes are occasionally of extraordinary interest."""
140,"""Nothing has more individuality, save perhaps watches and bootlaces."""
141,"""The indications here, however, are neither very marked nor very important."""
142,"""The owner is obviously a muscular man, left-handed, with an excellent set of teeth, careless in his habits, and with no need to practise economy."""
143,"""You think a man must be well-to-do if he smokes a seven-shilling pipe?"""
144,"""This is Grosvenor mixture at eightpence an ounce."""
145,"""As he might get an excellent smoke for half the price, he has no need to practise economy."""
146,"""And the other points?"""
147,quote
148,"I can see that you have not slept for a night or two. That tries a man's nerves more than work, and more even than pleasure. May I ask how I can help you?"
149,You wish to employ me as a consulting detective?
150,My dear Mr. Grant Munro--
151,"If you wish to preserve your incognito, I would suggest that you cease to write your name upon the lining of your hat, or else that you turn the crown towards the person whom you are addressing. I was about to say that my friend and I have listened to a good many strange secrets in this room, and that we have had the good fortune to bring peace to many troubled souls. I trust that we may do as much for you. Might I beg you, as time may prove to be of importance, to furnish me with the facts of your case without further delay?"
152,"Kindly let me have the facts, Mr. Munro"
153,"""The facts are these, Mr. Holmes,"" said he. ""I am a married man, and have been so for three years. During that time my wife and I have loved each other as fondly and lived as happily as any two that ever were joined. We have not had a difference, not one, in thought or word or deed. And now, since last Monday, there has suddenly sprung up a barrier between us, and I find that there is something in her life and in her thought of which I know as little as if she were the woman who brushes by me in the street. We are estranged, and I want to know why."
154,"""Kindly let me have the facts, Mr. Munro,"""
155,"""I'll tell you what I know about Effie's history. She was a widow when I met her first, though quite young--only twenty-five. Her name then was Mrs. Hebron. She went out to America when she was young, and lived in the town of Atlanta, where she married this Hebron, who was a lawyer with a good practice. They had one child, but the yellow fever broke out badly in the place, and both husband and child died of it. I have seen his death certificate. This sickened her of America, and she came back to live with a maiden aunt at Pinner, in Middlesex. I may mention that her"
156,quote
157,"the text provided does not contain any dialogue lines spoken by the character Holmes. The text appears to be a narrative from the perspective of a third-person narrator, and the dialogue lines are spoken by the narrator's character, the husband, and his wife."
158,quote
159,for God's sake!
160,"no, Jack, for God's sake!"
161,Jack!
162,but nothing but misery can come of it if you enter that cottage.
163,Jack!
164,all will be well.
165,all is over between us.
166,and on one condition only.
167,"but you must promise me that there shall be no more nightly visits, no more doings which are kept from my knowledge."
168,come away up to the house.
169,rough woman whom I had seen the day before be connected with her?
170,and yet I knew that my mind could never know ease again until I had solved it.
171,"but I returned by the 2.40 instead of the 3.36, which is my usual train."
172,and saw the maid with whom I had just been speaking running across the field in the direction of the cottage.
173,and had asked the servant to call her if I should return.
174,"I rushed down and hurried across, determined to end the matter once and forever."
175,but I did not stop to speak with them.
176,"quote"""
177,""" said he, laying his hand hard upon my friend's sleeve. ""They are still there, Mr. Holmes,"""
178,"then?"" asked Holmes, as he walked down the dark tree-lined road."
179,quote
180,"""We can talk it over more comfortably at home,"""
181,and my friend plucked at my sleeve as we came out.
182,""" said he, ""that we shall be of more use in London than in Norbury."""
183,"when he was turning away, with his lighted candle, for his bedroom."
184,""" said he, ""if it should ever strike you that I am getting a little over-confident in my powers, or giving less pains to a case than it deserves, kindly whisper 'Norbury' in my ear, and I shall be infinitely obliged to you."""
185,there are no dialogue lines spoken by the character Holmes in the provided text.
186,quote
187,"‘There is one other detail,'"
188,"‘I'll write and resign,'"
189,"‘If you want good men you should pay them a good price,’"
190,"‘He would rather have our small price than your big one,’"
191,"‘I'll lay you a fiver,'"
192,‘Done!'
193,‘The impudent scoundrel!'
194,"‘Good! That's a promise,'"
195,"‘Well, I'm delighted to have got so good a man for my brother. Here's your advance of a hundred pounds, and here is the letter. Make a note of the address, 126b Corporation Street, and remember that one o'clock to-morrow is your appointment. Good-night; and may you have all the fortune that you deserve!’"
196,"‘That's just about all that passed between us, as near as I can remember. You can imagine, Dr. Watson, how pleased I was at such an extraordinary bit of good fortune. I sat up half the night hugging myself over it, and next day I was off to Birmingham in a train that would take me in plenty time for my appointment. I took my things to a hotel in New Street, and then I made my way to the address which had been given me."
197,"‘It was a quarter of an hour before my time, but I thought that would make no difference. 126b was a passage between two large shops, which led to a winding stone stair, from which there were many flats, let as offices to companies or professional men. The names of the occupants were painted at the bottom on the wall, but there was no such name as the Franco-Midland Hardware Company, Limited. I stood for a few minutes with my heart in my boots, wondering whether the whole thing was an elaborate hoax or not, when up came a man and addressed me. He was very like the chap I had seen the night before, the same figure and voice, but he was clean shaven and his hair was lighter."
198,‘Are you Mr. Hall Pycroft?’
199,"‘Yes,’"
200,"‘Oh! I was expecting you, but you are a trifle before your time. I had a note from my brother this morning in which he sang your praises very"
201,quote
202,"is it not?"",""Rather fine, Watson, is it not?"""
203,""",""Oh, easily enough,"""
204,"of course,"",""I should like to have a look at the gentleman, and see if I can make anything of his little game."",""What qualities have you, my friend, which would make your services so valuable? Or is it possible that--"""
205,""",""By Jove, I told you so!"""
206,"""These are the company's offices into which he has gone. Come with me, and I'll fix it up as easily as possible."",""You look ill, Mr. Pinner!"",""Yes, I am not very well,"",""Who are these gentlemen whom you have brought with you?"",""One is Mr. Harris, of Bermondsey, and the other is Mr. Price, of this town,"",""I am an accountant,"",""Ah yes, we shall want something of the sort. And you, Mr. Price?"",""A clerk,"",""I have every hope that the company may accommodate you. I will let you know about it as soon as we come to any conclusion. And now I beg that you will go. For God's sake leave me to myself!"",""You forget, Mr. Pinner, that I am here by appointment to receive some directions from you,"",""Certainly, Mr. Pycroft, certainly,"",""You may wait here a moment; and there is no reason why your friends should not wait with you. I will be entirely at your service in three minutes, if I might trespass upon your patience so far."",""What now?"",""Is he giving us the slip?"",""Impossible,"",""Why so?"",""That door leads into an inner room."",""There is no exit?"",""None."",""Is it furnished?"",""It was empty yesterday."",""Then what on earth can he be doing? There is something which I don't understand in his manner. If ever a man was three parts mad with terror, that man's name is Pinner. What can have put the shivers on him?"",""He suspects that we are detectives,"",""That's it,"",""He did not turn pale. He was pale when we entered the room,"",""It is just possible that--"",""What the deuce is he knocking at his own door for?"",""Again and much louder cam the rat-tat-tat. We all gazed expect"
207,quote
208,"""The paper! Of course! I thought so must of our visit that the paper never entered my head for an instant. To be sure, the secret must be there."""
209,"""Look at this, Watson, it is a London paper, an early edition of the Evening Standard. Here is what we want. Look at the headlines: 'Crime in the City. Murder at Mawson & Williams's. Gigantic attempted Robbery. Capture of the Criminal.'"""
210,"""Well, we may save the police some little trouble in that direction, Watson. Human nature is a strange mixture, Watson. You see that even a villain and murderer can inspire such affection that his brother turns to suicide when he learns that his neck is forfeited."""
211,"""Human nature is a strange mixture, Watson. You see that even a villain and murderer can inspire such affection that his brother turns to suicide when he learns that his neck is forfeited. However, we have no choice as to our action. The doctor and I will remain on guard, Mr. Pycroft, if you will have the kindness to step out for the police."""
212,quote
213,"You can imagine, how shocked both his son and I were. His attack did not last long, however, for when we undid his collar, and sprinkled the water from one of the finger-glasses over his face, he gave a gasp or two and sat up."
214,"'Ah, boys,' said he, forcing a smile, 'I hope I haven't frightened you. Strong as I look, there is a weak place in my heart, and it does not take much to knock me over. I don't know how you manage this, Mr. Holmes, but it seems to me that all the detectives of fact and of fancy would be children in your hands. That's your line of life, sir, and you may take the word of a man who has seen something of the world.'"
215,"And that recommendation, with the exaggerated estimate of my ability with which he prefaced it, was, if you will believe me, Watson, the very first thing which ever made me feel that a profession might be made out of what had up to that time been the merest hobby. At the moment, however, I was too much concerned at the sudden illness of my host to think of anything else."
216,'I hope that I have said nothing to pain you?' said I.
217,"'Well, you certainly touched upon rather a tender point. Might I ask how you know, and how much you know?' He spoke now in a half-jesting fashion, but a look of terror still lurked at the back of his eyes."
218,"It is simplicity itself,' said I. 'When you bared your arm to draw that fish into the boat I saw that J. A. had been tattooed in the bend of the elbow. The letters were still legible, but it was perfectly clear from their blurred appearance, and from the staining of the skin round them, that efforts had been made to obliterate them. It was obvious, then, that those initials had once been very familiar to you, and that you had afterwards wished to forget them.'"
219,"'What an eye you have!' he cried, with a sigh of relief. 'It is just as you say. But we won't talk of it. Of all ghosts the ghosts of our old lovers are the worst. Come into the billiard-room and have a quiet cigar.'"
220,"From that day, amid all his cordiality, there was always"
221,quote
222,"""We were sitting out upon the lawn on garden chairs, the three of us,"
223,when a
224,What is his name?
225,"What does he want, then?"
226,Show him round here.
227,"Well, my man, What can I do for you?"
228,You don't know me?
229,"Why, dear me, it is surely Hudson,' said Mr. Trevor in a tone of"
230,"You will find that I have not forgotten old times,' cried Mr."
231,"and, walking towards the sailor, he said something in a low"
232,"' he continued out loud, 'and you will"
233,"Thank you, sir, I'm just"
234,"short-handed at that, and I"
235,Ah!' cried Trevor. 'You know where Mr. Beddoes is?'
236,"What power had he, then?'"
237,"Ah, that is what I would give so much to know. The kindly,"
238,good old governor--how could he have fallen into the
239,
240,and I know
241,"'My father made the fellow gardener,' said my companion, 'and then,"
242,he was promoted to be butler. The house
243,and he wandered about and did what he
244,"leering, insolent face that I would have knocked him"
245,quote
246,"Nothing. There lies the inexplicable part of it. The message was absurd and trivial. Ah, my God, it is as I feared!"
247,"As he spoke we came round the curve of the avenue, and saw in the fading light that every blind in the house had been drawn down. As we dashed up to the door, my friend's face convulsed with grief, a gentleman in black emerged from it."
248,"When did it happen, doctor?"
249,Did he recover consciousness?
250,Any message for me?
251,Only that the papers were in the back drawer of the Japanese cabinet.
252,"My friend ascended with the doctor to the chamber of death, while I remained in the study, turning the whole matter over and over in my head, and feeling as sombre as ever I had done in my life. What was the past of this Trevor, pugilist, traveler, and gold-digger, and how had he placed himself in the power of this acid-faced seaman?  Why, too, should he faint at an allusion to the half-effaced initials upon his arm, and die of fright when he had a letter from Fordingham?"
253,"Then I remembered that Fordingham was in Hampshire, and that this Mr. Beddoes, whom the seaman had gone to visit and presumably to blackmail, had also been mentioned as living in Hampshire. The letter, then, might either come from Hudson, the seaman, saying that he had betrayed the guilty secret which appeared to exist, or it might come from Beddoes, warning an old confederate that such a betrayal was imminent. So far it seemed clear enough. But then how could this letter be trivial and grotesque, as described by the son?"
254,"He must have misread it. If so, it must have been one of those ingenious secret codes which mean one thing while they seem to mean another. I must see this letter. If there were a hidden meaning in it, I was confident that I could pluck it forth. For an hour I sat pondering over it in the gloom, until at last a weeping maid brought in a lamp, and close at her heels came my friend Trevor, pale but composed, with these very papers which lie upon my knee held in his grasp."
255,"He sat down opposite to me, drew"
256,actually):
257,quote
258,
259,quote
260,"It was over them that the great quarrel arose. There were many of us who were glad enough to win back our freedom, and yet who had no wish to have murder on our souls."
261,"It was one thing to knock the soldiers over with their muskets in their hands, and it was another to stand by while men were being killed in cold blood. Eight of us, five convicts and three sailors, said that we would not see it done."
262,"Our only chance of safety lay in making a clean job of it, said he, and he would not leave a tongue with power to wag in a witness-box."
263,"We were given a suit of sailor togs each, a barrel of water, two casks, one of junk and one of biscuits, and a compass. Prendergast threw us over a chart, told us that we were shipwrecked mariners whose ship had foundered in Lat. 15° and Long. 25° west, and then cut the painter and let us go."
264,"And now I come to the most surprising part of my story, my dear son. The seamen had hauled the fore-yard aback during the rising, but now as we left them they brought it square again, and as there was a light wind from the north and east the bark began to draw slowly away from us."
265,"On the whole, as the wind was coming round to the north, we thought that Sierra Leone might be best, and turned our head in that direction, the bark being at that time nearly hull down on our starboard quarter."
266,"Suddenly as we looked at her we saw a dense black cloud of smoke shoot up from her, which hung like a monstrous tree upon the sky line."
267,"It was a long hour before we reached it, and at first we feared that we had come too late to save any one."
268,"When we pulled him aboard the boat he proved to be a young seaman of the name of Hudson, who was so burned and exhausted that he could give us no account of what had happened until the following morning."
269,"It seemed that after we had left, Prendergast and his gang had proceeded to put to death the five remaining prisoners."
270,"There only remained the first mate, who was a bold and active man. When he saw the convict approaching him with the bloody knife in his hand he"
271,quote
272,"There are cases enough here, Watson"
273,"""I think that if you knew all that I had in this box you would ask me to pull some out instead of putting others in."""
274,"""These are the records of your early work, then?"""
275,"""Yes, my boy, these were all done prematurely before my biographer had come to glorify me."""
276,"""They are not all successes, Watson,"" said he."
277,"""Well, my boy, what do you make of this lot?"""
278,"""Very curious, and the story that hangs round it will strike you as being more curious still."""
279,"""These relics have a history then?"""
280,"""So much so that they are history."""
281,"""What do you mean by that?"""
282,"""These,"" said he, ""are all that I have left to remind me of the adventure of the Musgrave Ritual."""
283,"""And leave the litter as it is?"" he cried, mischievously."
284,"""A collection of my trifling achievements would certainly be incomplete which contained no account of this very singular business."""
285,"""You may remember how the affair of the Gloria Scott, and my conversation with the unhappy man whose fate I told you of, first turned my attention in the direction of the profession which has become my life's work."""
286,"""You see me now when my name has become known far and wide, and when I am generally recognized both by the public and by the official force as being a final court of appeal in doubtful cases."""
287,"""Even when you knew me first, at the time of the affair which you have commemorated in 'A Study in Scarlet,' I had already established a considerable, though not a very lucrative, connection."""
288,"""You can hardly realize, then, how difficult I found it at first, and how long I had to wait before I succeeded in making any headway."""
289,"""When I first came up to London I had rooms in Montague Street, just round the corner from the British Museum, and there I waited, filling in my too abundant leisure time by studying all those branches of science which might make me more efficient."""
290,"""Now and again cases came in my way, principally through the introduction of old fellow-students, for during"
291,quote
292,"""How has all gone with you Musgrave?'"
293,' said he; 'he was
294,and as I am member for my district as
295,"my life has been a busy one. But I understand, Holmes, that you"
296,"' said I, 'I have taken to living by my wits.'"
297,for your advice at present would be
298,and the police have been able to throw no light upon the
299,"let me have the details,' I cried."
300,and slunk
301,and by its
302,but simply a copy of the questions and answers in the singular
303,which each Musgrave for centuries past has
304,and
305,like our own
306,but of no practical use whatever.'
307,quote
308,"Only a week, sir?"""
309,"""A week,"" I repeated, ""and you may consider yourself to have been very leniently dealt with."""
310,"'He crept away, his face sunk upon his breast, like a broken man,"
311,"""You should be in bed,"" I said. ""Come back to your duties when you are stronger."""
312,"'I am strong enough, Mr. Musgrave,"" said she."
313,"'The butler is gone,"" said she."
314,"""'Gone! Gone where?"""
315,"""He is gone. No one has seen him. He is not in his room. Oh, yes, he is gone, he is gone!"" She fell back against the wall with shriek after shriek of laughter, while I, horrified at this sudden hysterical attack, rushed to the bell to summon help."
316,"There was no doubt about it that he had disappeared. His bed had not been slept in, he had been seen by no one since he had retired to his room the night before, and yet it was difficult to see how he could have left the house, as both windows and doors were found to be fastened in the morning. His clothes, his watch, and even his money were in his room, but the black suit which he usually wore was missing. His slippers, too, were gone, but his boots were left behind. Where then could butler Brunton have gone in the night, and what could have become of him now?"
317,"Of course we searched the house from cellar to garret, but there was no trace of him. It is, as I have said, a labyrinth of an old house, especially the original wing, which is now practically uninhabited; but we ransacked every room and cellar without discovering the least sign of the missing man. It was incredible to me that he could have gone away leaving all his property behind him, and yet where could he be? I called in the local police, but without success. Rain had fallen on the night before and we examined the lawn and the paths all round the house, but in vain. Matters were in this state, when a new development quite drew our attention away from the original mystery."
318,"For two days Rachel Howells had been so ill, sometimes delirious, sometimes hysterical, that a nurse had been employed to sit up with her at night."
319,quote
320,"I was already firmly convinced, Watson, that there were not three"
321,"but one only, and that if I could read the"
322,Why should this servant be so anxious to master this old formula?
323,and from which he expected some personal
324,"It was perfectly obvious to me, on reading the ritual, that the"
325,"and that if we could find that spot, we should be in a fair"
326,"That was there when your ritual was drawn up,' said I, as we drove"
327,"'It was there at the Norman Conquest in all probability,' he"
328,Here was one of my fixed points secured.
329,Have you any old elms?' I asked.
330,'There used to be a very old one over yonder but it was struck by
331,"and we cut down the stump,'"
332,'You can see where it used to be?'
333,"'Oh, yes.'"
334,'There are no other elms?'
335,"'No old ones, but plenty of beeches.'"
336,'I should like to see where it grew.'
337,"We had driven up in a dogcart, and my client led me away at"
338,"without our entering the house, to the scar on the lawn where the"
339,'I suppose it is impossible to find out how high the elm was?' I
340,'I can give you it at once. It was sixty-four feet.'
341,"'How do you come to know it?' I asked, in surprise."
342,"'When my old tutor used to give me an exercise in trigonometry, it"
343,quote
344,"""At the moment, however, we had no thought for the old chest, for our eyes were riveted upon that which crouched beside it. It was the figure of a man, clad in a suit of black, who squatted down upon his hams with his forehead sunk upon the edge of the box and his two arms thrown out on each side of it."
345,"""I confess that so far, Watson, I had been disappointed in my investigation. I had reckoned upon solving the matter when once I had found the place referred to in the Ritual; but now I was there, and was apparently as far as ever from knowing what it was which the family had concealed with such elaborate precautions."
346,"""You know my methods in such cases, Watson. I put myself in the man's place and, having first gauged his intelligence, I try to imagine how I should myself have proceeded under the same circumstances."
347,"""He knew that something valuable was concealed. He had spotted the place. He found that the stone which covered it was just too heavy for a man to move unaided. What would he do next? He could not get help from outside, even if he had some one whom he could trust, without the unbarring of doors and considerable risk of detection."
348,"""But for two of them, and one a woman, it must have been heavy work the raising of that stone. A burly Sussex policeman and I had found it no light job. What would they do to assist them? Probably what I should have done myself."
349,"""One piece, about three feet in length, had a very marked indentation at one end, while several were flattened at the sides as if they had been compressed by some considerable weight."
350,"""And now how was I to proceed to reconstruct this midnight drama? Clearly, only one could fit into the hole, and that one was Brunton."
351,"""What smouldering fire of vengeance had suddenly sprung into flame in this passionate Celtic woman's soul when she saw the man who had wronged her--wronged her, perhaps, far more than we suspected--in her power?"
352,"""Here was the secret of her blanched face, her shaken nerves, her peals of hysterical laughter on the next morning. But what had been in the box? What had she done with that?"
353,"""For twenty minutes I had"
354,quote
355,"""And that's the story of the Musgrave Ritual, Watson. They have the"
356,and the
357,"""By the way, I think I'll take one of these pistols upstairs with me in case we have an"
358,"""No clue?"""
359,"""Hum! It may prove the simplest matter in the world, but all the same"
360,is it not? A gang of burglars acting
361,and not to crack
362,"""If it's a local villain there should not be much difficulty in running him down,"""
363,"""All right, Watson, I don't intend to meddle."""
364,"""The fates are against you, Watson,"""
365,"quote"""
366,"""We had no clue in the Acton affair. But here we have plenty to go on, and there's no doubt it is the same party in each case. The man was seen."""
367,"""Ah!"""
368,"""Yes, sir. But he was off like a deer after the shot that killed poor William Kirwan was fired. Mr. Cunningham saw him from the bedroom window, and Mr. Alec Cunningham saw him from the back passage. It was quarter to twelve when the alarm broke out. Mr. Cunningham had just got into bed, and Mr. Alec was smoking a pipe in his dressing-gown. They both heard William the coachman calling for help, and Mr. Alec ran down to see what was the matter. The back door was open, and as he came to the foot of the stairs he saw two men wrestling together outside. One of them fired a shot, the other dropped, and the murderer rushed across the garden and over the hedge. Mr. Cunningham, looking out of his bedroom, saw the fellow as he gained the road, but lost sight of him at once. Mr. Alec stopped to see if he could help the dying man, and so the villain got clean away. Beyond the fact that he was a middle-sized man and dressed in some dark stuff, we have no personal clue; but we are making energetic inquiries, and if he is a stranger we shall soon find him out."""
369,"""What was this William doing there? Did he say anything before he died?"""
370,"""Not a word. He lives at the lodge with his mother, and as he was a very faithful fellow we imagine that he walked up to the house with the intention of seeing that all was right there. Of course this Acton business has put every one on their guard. The robber must have just burst open the door--the lock has been forced--when William came upon him."""
371,"""Did William say anything to his mother before going out?"""
372,"""She is very old and deaf, and we can get no information from her. The shock has made her half-witted, but I understand that she was never very bright. There is one very important circumstance, however. Look at this!"""
373,"""This was found between the finger and thumb of the dead man. It appears to be a fragment torn from a larger sheet. You will"
374,quote
375,"Good heavens, Mr. Holmes! What is the matter?"
376,My poor friend's face had suddenly assumed the most dreadful expression.
377,"My illness has shaken me, and this one little incident was enough to show me that I was still far from being myself."
378,"Get it printed as soon as possible,"""
379,"And now,"" said he, ""it really would be a good thing that we should all go over the house together and make certain that this rather erratic burglar did not, after all, carry anything away with him."""
380,"You don't use bars, then?"" he asked."
381,You don't keep a dog?
382,When do the servants go to bed?
383,It is singular that on this particular night he should have been up.
384,"Now, I should be very glad if you would have the kindness to show us over the house, Mr. Cunningham."""
385,"My good sir,"" said Mr. Cunningham with some impatience, ""this is surely very unnecessary."
