number,character,quote
15,sh,"The fact that these
     strange symptoms began after his visit to Prague, that he is in
     secret correspondence with a Bohemian dealer in London, who
     presumably represents someone in Prague, and that he received a
     packet from him this very day, all point in one direction. What he
     takes and why he takes it are still beyond our ken, but that it
     emanates in some way from Prague is clear enough. He takes it under
     definite directions which regulate this ninth-day system, which was
     the first point which attracted my attention. But his symptoms are
     most remarkable. Did you observe his knuckles?"
16,sh,"The shadow
     has departed and will not return. We must see what further cards we
     have in our hands and play them with decision. Could you swear to
     that man's face within the cab?"
17,hp,"After that, Monsieur? I answered your bell and brought you some mineral water. Then, about half an hour later, I made up the bed in one of the other compartments—that of the young American gentleman, M. Ratchett’s secretary."
18,sh,"And yet it may be premature to abandon the
     case. After all, important fresh evidence is a two-edged thing, and
     may possibly cut in a very different direction to that which Lestrade
     imagines. Take your breakfast, Watson, and we will go out together
     and see what we can do. I feel as if I shall need your company and
     your moral support to-day."
19,hp,Doyle’s got to know. You say he’s asleep still?
20,hp,"Will you permit me, Mr. Gardener, to ask you one question?"
21,sh,"You
     had not met Barker, Watson. He is my hated rival upon the Surrey
     shore. When you said a tall dark man it was not difficult for me to
     complete the picture. He has several good cases to his credit, has he
     not, Inspector?"
22,hp,"After all, he’s not a reasonable human being,"
23,mm,"I’d better tell you briefly how I came into things now,"
24,hp,"I see what you’re driving at, but I’m not quite clear yet."
25,hp,"He had
quite a childish love of surprising people. Meant to keep it up his
sleeve for a day or so. Probably was playing with it like a new toy.
Yes, it fits in. You’re quite right—no one would use quite those words
in casual conversation."
26,mm,"They seemed very happy to be together, if you know what I mean."
27,hp,I’ll be quiet. But I must leave this place. Joseph and I can go in and sleep at the Rest House.
28,hp,"Not at all. But I have some natural delicacy,"
29,hp,Let us interview next the Swedish lady before we discuss the evidence we have heard.
30,mm,It will seem such a waste of a life. Although she had retired from her Headmistresship she still exercised a lot of power. This accident—
31,sh,"There was a paragraph amplifying this in one of the society papers
     of the same week. Ah, here it is:"
32,sh,"that if your
     government bears you out in this treatment it becomes an act of war."
33,mm,"I think, you know, that I believe it too."
34,sh,"All my instincts are against this explanation. Use your powers! Go
     to the scene of the crime! See the people concerned! Leave no stone
     unturned! In all your career you have never had so great a chance of
     serving your country."
35,sh,"Very interesting reading it might be made, too,"
36,sh,"Who are you, and how do you get my name so pat?"
37,mm,Yes. And what does that suggest to you?
38,hp,"The impossible cannot have happened, therefore the impossible must be possible in spite of appearances."
39,hp,"As early as possible, Madame. What did you do when you first got up this morning?"
40,sh,"I hope you preserved all precautions, Mrs. Hudson?"
41,sh,"The nobleman swung his glasses a little faster and stared down into
     the fire."
42,mm,"It’s all much the same kind, really, isn’t it?"
43,sh,"It is not easy to express the inexpressible,"
44,hp,How many times have I got to repeat it?
45,mm,"a very nice woman. The kind that would so easily marry a bad lot. In fact, the sort of woman that would marry a murderer if she were ever given half a chance. I still consider,"
46,hp,Quite frequently they do. That is even more upsetting!
47,hp,Can you tell me of any good that can be done without it? You’ve got to break down and destroy before you can build up.
48,mm,"Nothing professional, that is to say. I have never been a probation officer or indeed sat as a magistrate on a Bench or been connected in any way with a detective agency. To explain to you, Mr. Broadribb, which I think it is only fair for me to do and which I think Mr. Rafiel ought to have done, to explain it in any way all I can say is that during our stay in the West Indies, we both, Mr. Rafiel and myself, had a certain connection with a crime that took place there. A rather unlikely and perplexing murder."
49,sh,"Well, now, Miss Winter, if you would call
     here to-morrow evening at five, I would consider in the meanwhile
     whether your suggestion of seeing this lady personally may not be
     arranged. I am exceedingly obliged to you for your cooperation. I
     need not say that my clients will consider liberally--"
50,mm,"They’d expect to buy it for a song,"
51,mm,I feel really I ought to stay here and keep an eye on you.
52,mm,"Something that will be seen, remembered, observed, recognized."
53,hp,Afterwards it will be cleared and M. Poirot can conduct his examination of the passengers there. In the meantime I have ordered them to bring us three some food here.
54,sh,"and I really cannot undertake to go about the country looking for a
     left-handed gentleman with a game leg. I should become the
     laughing-stock of Scotland Yard."
55,sh,"Oh, yes, sir; I have only just left him."
56,mm,You may not know it but what you are telling me is particularly interesting to me. It ties up with so much I have known and seen in the work I do. Go on giving me what you felt.
57,mm,"You look a bit rattled like, if you know what I mean."
58,sh,"Bite on that, Captain Croker, and
     don't let your nerves run away with you. I should not sit here
     smoking with you if I thought that you were a common criminal, you
     may be sure of that. Be frank with me, and we may do some good. Play
     tricks with me, and I'll crush you."
59,sh,"We had not long to wait, for our Norfolk squire came straight from
     the station as fast as a hansom could bring him. He was looking
     worried and depressed, with tired eyes and a lined forehead."
60,mm,why Verity broke off her engagement to marry Mr. Rafiel’s son.
61,sh,"And yet I question, sir, whether, in all your experience, you have
     ever listened to a more mysterious and inexplicable chain of events
     than those which have happened in my own family."
62,hp,"I know something of them. They are capable of complicating life unbearably. And the English, they conduct their affairs indescribably. If it was necessary for you to come here, M. Redfern, why, in the name of heaven, did you bring your wife?"
63,sh,Who knew that you were going to the Northumberland Hotel?
64,sh,"Half an hour more or less can
     make no difference to you, and the gentleman was about to give us an
     account of this very interesting affair, which might aid us in
     clearing it up."
65,mm,"You compare yourself to a denizen of a stagnant pond, Aunt Jane?"
66,sh,"the more bizarre a thing is the less
     mysterious it proves to be. It is your commonplace, featureless
     crimes which are really puzzling, just as a commonplace face is the
     most difficult to identify. But I must be prompt over this matter."
67,mm,"One never knows. His wife died young and I think it possible that her death saddened him very much, though he was never willing to show it. How much he cared for his son and daughters I don’t know. He provided for them. He did his best for them. He did his best for his son, but what his feelings were one cannot say. He was not an easy man to read that way. I think his whole life and interest lay in his profession of making money. It was the making of it, like all great financiers, that interested him. Not the actual money which he secured by it. That, as you might say, was sent out like a good servant to earn more money in more interesting and unexpected ways. He enjoyed finance. He loved finance. He thought of very little else.

“I think he did all that was possible for his son. He got him out of scrapes at school, he employed good lawyers to get him released from Court proceedings whenever possible, but the final blow came, perhaps presaged by some early happenings. The boy was taken to Court on a charge of assault against a young girl. It was said to be assault and rape and he suffered a term of imprisonment for it, with some leniency shown because of his youth. But later, a second and really serious charge was brought against him."
68,hp,"what the papers the girl
disarranged could have been for Ackroyd to have got into such a state
about them? I wonder if there is any clew there to the mystery."
69,hp,"Only yesterday he looked such a happy boy, with everything in the world he wanted. And now his beautiful wife killed and he himself laid up and helpless. I do hope, though—"
70,sh,"Look out
     this window, Watson. See how the figures loom up, are dimly seen, and
     then blend once more into the cloud-bank. The thief or the murderer
     could roam London on such a day as the tiger does the jungle, unseen
     until he pounces, and then evident only to his victim."
71,sh,Have you any objection to my looking at your register?
72,sh,"I don't believe that I can
     swing over the job. I give you my word on the book that I never
     raised hand against Mr. Sholto. It was that little hell-hound Tonga
     who shot one of his cursed darts into him. I had no part in it, sir.
     I was as grieved as if it had been my blood-relation. I welted the
     little devil with the slack end of the rope for it, but it was done,
     and I could not undo it again."
73,hp,"But we must not lose sight of one
thing."
74,hp,Good. I’ll let nurse know and she’ll arrange the dope accordingly.
75,mm,"but I did happen to know this, that when my eyesight was failing, the doctor ordered me drops with atropine sulphate in them. I went straight upstairs to old Mr. Denman’s room. I didn’t beat about the bush.

“‘Mr. Denman,’ I said, ‘I know everything. Why did you poison your son?’

“He looked at me for a minute or two—rather a handsome old man he was, in his way—and then he burst out laughing. It was one of the most vicious laughs I have ever heard. I can assure you it made my flesh creep. I had only heard anything like it once before, when poor Mrs. Jones went off her head.

“‘Yes,’ he said, ‘I got even with Geoffrey. I was too clever for Geoffrey. He was going to put me away, was he? Have me shut up in an asylum? I heard them talking about it. Mabel is a good girl—Mabel stuck up for me, but I knew she wouldn’t be able to stand up against Geoffrey. In the end he would have his own way; he always did. But I settled him—I settled my kind, loving son! Ha, ha! I crept down in the night. It was quite easy. Brewster was away. My dear son was asleep; he had a glass of water by the side of his bed; he always woke up in the middle of the night and drank it off. I poured it away—ha, ha!—and I emptied the bottle of eyedrops into the glass. He would wake up and swill it down before he knew what it was. There was only a tablespoonful of it—quite enough, quite enough. And so he did! They came to me in the morning and broke it to me very gently. They were afraid it would upset me. Ha! Ha! Ha! Ha! Ha!’

“Well,"
76,hp,"I’m trying to judge the thing
fair and square. I’m a local man, and I’ve seen Captain Paton many
times in Cranchester. I’m not wanting him to be the guilty one—but it’s
bad whichever way you look at it. If he’s innocent, why doesn’t he come
forward? We’ve got evidence against him, but it’s just possible that
that evidence could be explained away. Then why doesn’t he give an
explanation?"
77,hp,"You have not got rid of me so easily, you see!"
78,mm,"Such a to-do, is it not? And Mr. Dennis thinks he knows who committed the crime. Well, I suppose we all think we know."
79,mm,"I want to know whether, after the tragedy, Jerry Lorimer married Maud Wye?"
80,hp,"And how do you propose that that should be accomplished, Madame?"
81,hp,"Many’s the time I’ve heard Inspector Japp say that. M. Poirot and his
little ideas! Too fanciful for me, he’d say, but always something in
them."
82,sh,"On the face of it, it seems absurd to suppose that this person knows
     anything, but if you think--"
83,hp,"You will remember that Mrs.
Ackroyd and her daughter came over from Canada to live here?"
84,mm,"I should imagine so, Mrs. Harmon. If they’re here."
85,sh,"The ticket would have shown which station was nearest the agent's
     house. Therefore he took it from the murdered man's pocket."
86,sh,"He took from his pocket the various slips of the dancing men. With
     these in front of him he worked for some time at the study-table.
     Finally he handed a note to the boy, with directions to put it into
     the hands of the person to whom it was addressed, and especially to
     answer no questions of any sort which might be put to him. I saw the
     outside of the note, addressed in straggling, irregular characters,
     very unlike Holmes's usual precise hand. It was consigned to Mr. Abe
     Slaney, Elrige's Farm, East Ruston, Norfolk."
87,hp,Doubtless one of the passengers has opened it to look out on the snow.
88,sh,"It was a lady's hand-bag which stood upon the study table--a trim
     little hand-bag of crocodile-skin and silver. Holmes opened it and
     turned the contents out. There were twenty fifty-pound notes of the
     Bank of England, held together by an india-rubber band--nothing else."
89,sh,"My friend and I return to town by the night-express,"
90,hp,Whereas one cannot command a crime to order? Very true.
91,hp,And what about the psychology? Do not Italians stab?
92,sh,"Go on, Miss Westbury. Even if it seems to tell against him, go on.
     We cannot say what it may lead to."
93,sh,"Hum! Born in New Jersey in the year 1858.
     Contralto--hum! La Scala, hum! Prima donna Imperial Opera of
     Warsaw--yes! Retired from operatic stage--ha! Living in London--quite
     so! Your Majesty, as I understand, became entangled with this young
     person, wrote her some compromising letters, and is now desirous of
     getting those letters back."
94,sh,'Do you know who it was that we let into the house that day?'
95,hp,"I do not know. But I will tell you
this: I believe that when we find the explanation of that telephone
call we shall find the explanation of the murder."
96,mm,"You have a deposit account, I expect. We will place it to your deposit account?"
97,hp,"Will you come with me, Mademoiselle? Monsieur Doyle wants to see you."
98,mm,You don’t feel like returning to St. Mary Mead?
99,hp,Who are you? You don’t belong to the police?
100,hp,"What’s the meaning of it, M. Poirot? Why does it come to me? Every night…?"
101,hp,Yes. He probably hid in that cave until he got his chance.
102,sh,"Indirectly it may be of value,
     you know; you have only to put it into words to gain the reputation
     of being excellent company for the remainder of your existence."
103,mm,"It’s not me you ought to be grateful to,"
104,mm,"That is a very large sum of money,"
105,sh,"Perhaps Mr. Neil Gibson has told you something of what occurred
     between us?"
106,mm,"I expect someone overheard something, though, don’t you?"
107,sh,"Good! and Gregson can come inside with me. You too, Doctor, you have
     taken an interest in the case and may as well stick to us."
108,sh,"The two men had stopped opposite the window.  Some chalk marks over
     the waistcoat pocket were the only signs of billiards which I could
     see in one of them.  The other was a very small, dark fellow, with
     his hat pushed back and several packages under his arm."
109,mm,"Ah no, she wasn’t. She was idle and she wasn’t too clever at her books either. No. She was all for the boys from the time she was twelve-years-old onwards. I think in the end she must have gone off with someone or other for good. But she never let anyone know. She never sent as much as a postcard. Went off, I think, with someone as promised her things. You know. Another girl I knew—but that was when I was young—went off with one of them Africans. He told her as his father was a Shake. Funny sort of word, but a shake I think it was. Anyway it was somewhere in Africa or in Algiers. Yes, in Algiers it was. Somewhere there. And she was going to have all sorts of wonderful things. He had six camels, the boy’s father, she said and a whole troop of horses and she was going to live in a wonderful house, she was, with carpets hanging up all over the walls, which seems a funny place to put carpets. And off she went. She come back again three years later. Yes. Terrible time, she’d had. Terrible. They lived in a nasty little house made of earth. Yes, it was. And nothing much to eat except what they call cos-cos which I always thought was lettuce, but it seems it isn’t. Something more like semolina pudding. Oh terrible it was. And in the end he said she was no good to him and he’d divorce her. He said he’d only got to say ‘I divorce you’ three times, and he did and walked out and somehow or other, some kind of Society out there took charge of her and paid her fare home to England. And there she was. Ah, but that was about thirty to forty years ago, that was. Now Nora, that was only about seven or eight years ago. But I expect she’ll be back one of these days, having learnt her lesson and finding out that all these fine promises didn’t come to much."
110,mm,"It’s a nice day, it is. I see you’ve got your curtains drawn back already. You’ve slept well then?"
111,sh,"You sent for me, Mr. Holmes. I had your note about an hour ago, and
     I have come, though I really do not know why I should obey your
     summons."
112,hp,She is absolutely positive they are not brown?
113,mm,"Yes, but this is very strong, good coffee. I should advise you not to drink it."
114,mm,"Yes. A very old friend of ours wrote to us—oh, quite some time ago, it must have been three weeks ago, but he asked us to make a note of this date. The date of the Famous Houses and Gardens Tour. He said that a great friend of his—or a relation, I’m not quite sure which—would be on that tour."
115,mm,"He was, I understand, a friend of yours."
116,hp,"But you understand, it is necessary for my report."
117,hp,"Of course, strictly speaking, it oughtn’t to matter. We’ve got Cust on the Doncaster murder—the bloodstained coat, the knife—not a loophole there. You couldn’t bounce any jury into acquitting him. But it spoils a pretty case. He did the Doncaster murder. He did the Churston murder. He did the Andover murder. Then, by hell, he must have done the Bexhill murder. But I don’t see how!"
118,mm,"Do tell me, Constable, do you suspect Mr. Spenlow?"
119,hp,"I think he must be just plain crazy,"
120,mm,"He took us all in that way—myself as much as anyone else. You will remember, dear Mr. Clement, that I was quite taken aback when I heard Mr. Redding had confessed to the crime. It upset all my ideas and made me think him innocent—when up to then I had felt convinced that he was guilty."
121,mm,What you say is quite true. I shan’t deny it. It doesn’t matter if I do or do not deny it.
122,hp,"Mine is a very simple one. Only this. On the morning of your wife’s death, did you have a bath after you finished typing and before you went out to play tennis?"
123,hp,"I see. With the right hand it is exceedingly difficult—almost impossible. One would have to strike backhanded, as it were. But if the blow were struck with the left hand—"
124,sh,"I should not have the impertinence to
     do it again after what you say. But I should like to take a little
     walk over the moor before it grows dark, that I may know my ground
     to-morrow, and I think that I shall put this horseshoe into my pocket
     for luck."
125,sh,"They can go everywhere, see
     everything, overhear every one. I expect to hear before evening that
     they have spotted her. In the mean while, we can do nothing but await
     results. We cannot pick up the broken trail until we find either the
     Aurora or Mr. Mordecai Smith."
126,sh,"Anything which you or the Inspector may suggest will most certainly
     be done."
127,hp,Seemed to be sitting in the Chief Constable’s pocket all right the other day.
128,hp,"Take a seat, will you not? What
I have to say may take some time."
129,mm,"You see, Miss Marple knew a case just like it in St. Mary Mead."
130,sh,"I could not have believed that an alarm could have spread so swiftly.
     Looking back, the huge house was one blaze of light. The front door
     was open, and figures were rushing down the drive. The whole garden
     was alive with people, and one fellow raised a view-halloa as we
     emerged from the veranda and followed hard at our heels. Holmes
     seemed to know the ground perfectly, and he threaded his way swiftly
     among a plantation of small trees, I close at his heels, and our
     foremost pursuer panting behind us. It was a six-foot wall which
     barred our path, but he sprang to the top and over. As I did the same
     I felt the hand of the man behind me grab at my ankle; but I kicked
     myself free and scrambled over a glass-strewn coping. I fell upon my
     face among some bushes; but Holmes had me on my feet in an instant,
     and together we dashed away across the huge expanse of Hampstead
     Heath. We had run two miles, I suppose, before Holmes at last halted
     and listened intently. All was absolute silence behind us. We had
     shaken off our pursuers and were safe.

     We had breakfasted and were smoking our morning pipe on the day after
     the remarkable experience which I have recorded when Mr. Lestrade, of
     Scotland Yard, very solemn and impressive, was ushered into our
     modest sitting-room."
131,mm,"I really feel I owe a great deal to Mary, I am so thankful I had the resolution to get rid of that other girl. Mary is really invaluable. Cooks nicely and waits beautifully and keeps our little flat scrupulously clean—mattresses turned over every day. And she is really wonderful with Emily!"
132,mm,"No, no, my dear young lady. You need have no fears on that score. The story I am about to tell is a perfectly simple and straightforward one and can be followed by any layman."
133,mm,Girls are so silly. Always falling in love.
134,hp,but I think I can say definitely that death occurred between midnight and two in the morning.
135,mm,I dare say it has nothing to do with the murder. But it is a Peculiar Thing. And just at present we all feel we must take notice of Peculiar Things.
136,sh,"They may rest here on
     the hook and will be dry presently. You have come up from the
     south-west, I see."
137,hp,"But that, Monsieur, is not his real name. He is the man Cassetti, who was responsible for a celebrated kidnapping outrage in America."
138,mm,"My dear lady, many years ago I read of a certain Chinese philosopher who, when his dearly loved wife was taken from him, continued calmly to beat a gong in the street—a customary Chinese pastime, I presume—exactly as usual. The people of the city were much impressed by his fortitude."
139,hp,"Well, what I mean to say—strangled, you know. Same idea. Feller suddenly sees red!"
140,sh,"Very good, Mrs. Merrilow. I
     should like to have a little chat with Dr. Watson. That will carry us
     till lunch-time. About three o'clock you may expect to see us at your
     house in Brixton."
141,mm,"I think he said pile. But there, I really can’t be sure—it’s so hard to remember the actual words, isn’t it, Miss, especially when they don’t seem to make sense. But now I come to think of it, I am pretty sure that it was a pile, and the fish began with C; but it wasn’t a cod or a crayfish."
142,hp,"If you will be so good, M. Hardman, assemble everyone here. There are two possible solutions of this case. I want to lay them both before you all."
143,sh,"Because she has said that she would send it on the day when the
     betrothal was publicly proclaimed. That will be next Monday."
144,hp,It is possible that publicity may do what private efforts have failed to do. The whole country now will be looking for A B C.
145,hp,"Yes, you have something more to tell us,"
146,sh,"Why should you raise up hopes which you are bound
     to disappoint? I am not over-tender of heart, but I call it cruel."
147,sh,"Oh, indeed! You seem to have done the thing very completely. I must
     compliment you."
148,mm,"Oh yes, I ought to have explained perhaps better in the letter we sent you. Mr. Rafiel has paid all expenses."
149,sh,"I am afraid, Watson, that I shall have to go,"
150,sh,"I should like you to offer a
     reward--coming from yourself, for the officials may take a little
     time before they would agree upon the sum, and these things cannot be
     done too promptly. I have jotted down the form here, if you would not
     mind signing it. Fifty pound was quite enough, I thought."
151,mm,"I know her quite well. She was Headmistress of Fallowfield, quite a famous school. I’d no idea she was on this tour. She retired as Headmistress, I think a year or two ago, and there is a new, rather young Headmistress there now with rather advanced progressive ideas. But Miss Temple is not very old, really, she’s about sixty, I should think, and very active, fond of climbing and walking and all the rest of it. This really seems most unfortunate. I hope she’s not badly hurt. I haven’t heard any details yet."
152,mm,"Oh yes—we had peaches in it, too—and nectarines."
153,mm,"He did come here, but I was at a meeting at the Women’s Institute."
154,hp,A very simple crime—a direct shortcut to his objective. No subtlety about it.
155,mm,Fancy her turning up. I thought she’d died a long time ago.
156,mm,"I am the person who should have known,"
157,mm,"No. It’s bad enough to know—to know that Verity died. Died in that horrible way. At any rate, other girls are safe from that boy. Life sentence he got. He’s still in prison. They won’t let him out to do anything to anyone else. Though why they couldn’t bring it in as some mental trouble—diminished responsibility—one of these things they use nowadays. He ought to have gone to Broadmoor. I’m sure he wasn’t responsible for anything that he did."
158,hp,"I should say, Madame, that you have had a happy life, that you have been generous and kindly in your attitude towards others."
159,hp,"we must hold the court of inquiry. First of all, I think we must verify the story of the affair last night. That is to say, we must question Fanthorp and Miss Robson, who were the actual witnesses of what occurred. The disappearance of the pistol is very significant."
160,sh,"Mrs. Lyons had resumed her seat. Her hands were grasping the arms of
     her chair, and I saw that the pink nails had turned white with the
     pressure of her grip."
161,mm,"but you do know that I am entirely in the dark still. You and Miss Lemprière seem to know what you are talking about, but we men are still in utter darkness."
162,hp,"whatever else I may be, I
am not a fool."
163,mm,"Even going round houses can be very tiring,"
164,hp,"At last we have a piece of information that is very definite. That tells one something, does it not?"
165,sh,"Several small punts and skiffs were lying about in the water and on
     the edge of the wharf. We took Toby round to each in turn, but,
     though he sniffed earnestly, he made no sign.

     Close to the rude landing-stage was a small brick house, with a
     wooden placard slung out through the second window."
166,hp,That settles the only time he left his work?
167,sh,"I took
     them and the purse and the telegram, intending to have them put in a
     place of safety at the Police Station. It was the merest chance my
     taking these pills, for I am bound to say that I do not attach any
     importance to them."
168,mm,You really want that money put into your current account?
169,mm,that to learn a little more about her might help me in my enquiries.
170,sh,"lay in the fact of there being too much evidence.
     What was vital was overlaid and hidden by what was irrelevant. Of all
     the facts which were presented to us we had to pick just those which
     we deemed to be essential, and then piece them together in their
     order, so as to reconstruct this very remarkable chain of events. I
     had already begun to suspect Joseph, from the fact that you had
     intended to travel home with him that night, and that therefore it
     was a likely enough thing that he should call for you, knowing the
     Foreign Office well, upon his way. When I heard that some one had
     been so anxious to get into the bedroom, in which no one but Joseph
     could have concealed anything--you told us in your narrative how you
     had turned Joseph out when you arrived with the doctor--my suspicions
     all changed to certainties, especially as the attempt was made on the
     first night upon which the nurse was absent, showing that the
     intruder was well acquainted with the ways of the house."
171,sh,Was he in favour of such a union?
172,sh,"because you once enabled
     my employer, Mrs. Cecil Forrester, to unravel a little domestic
     complication. She was much impressed by your kindness and skill."
173,hp,"Superficially, that is easy. The Gardeners are a middle-aged married couple, pleasant, travelled. All the talking is done by the lady. The husband is acquiescent. He plays tennis and golf and has a form of dry humour that is attractive when one gets him to oneself."
174,hp,I do not understand in the least of what you are talking.
175,mm,Do you often go on these sightseeing tours?
176,hp,I know. We all have a bit of trouble keeping out of his way. He’d like to turn this place into a cross between Margate and Le Touquet.
177,hp,"Somewhere, there is something that we have missed…."
178,mm,"But it makes a very useful excuse for talk, don’t you think?"
179,hp,"I, Mademoiselle? Why, to minister to the American lady."
180,mm,"It’s impossible not to know human nature living in a village all these years. The question is, do you believe me, or don’t you?"
181,mm,"May I ask, madam, how you got to know of it?"
182,sh,"God knows I have!--a trouble which is enough to unseat my reason, so
     sudden and so terrible is it. Public disgrace I might have faced,
     although I am a man whose character has never yet borne a stain.
     Private affliction also is the lot of every man; but the two coming
     together, and in so frightful a form, have been enough to shake my
     very soul. Besides, it is not I alone. The very noblest in the land
     may suffer unless some way be found out of this horrible affair."
183,sh,"Then I can assure you that our relations were entirely and always
     those of an employer towards a young lady whom he never conversed
     with, or ever saw, save when she was in the company of his children."
184,sh,"The last red streaks had faded away in the west and night had settled
     upon the moor. A few faint stars were gleaming in a violet sky."
185,mm,"You must admit that it all fits in,"
186,mm,"Certainly, Edna, come in and shut the door. What is it?"
187,mm,"It wasn’t any particular cleverness on my part,"
188,sh,"Was it not very extraordinary that you should do this on the very
     day when there were these papers inside?"
189,sh,"if you can see the
     truth in this matter, do not keep me in suspense. How do I stand? 
     What shall I do? I care nothing as to how you have found your facts
     so long as you have really got them."
190,hp,I haven’t either. I’ve been out sailing with him once or twice—but he doesn’t really like having anyone with him. He prefers to be on his own.
191,sh,"that Dr. Mortimer is a successful, elderly medical man,
     well-esteemed since those who know him give him this mark of their
     appreciation."
192,sh,"Who are these two men Mr. Blessington, and
     why do they wish to molest you?"
193,mm,"I don’t know exactly where you are, Mr. Rafiel, but I have no doubt that you are somewhere—I will do my best to fulfil your wishes."
194,mm,"You remember the line was out of order,"
195,hp,"And, by our former reasoning, it must be one of the passengers,"
196,mm,"Yes, she went inside and waited. Presently Mr. Redding came along the lane from the village. He came to the Vicarage gate, looked all round—"
197,hp,"They said I must come to the inquest—that’s on Monday, sir. But I’ve nowhere to go there—I couldn’t fancy being over the shop—now—and what with the housemaid being away, I didn’t want to put the mistress out more than may be."
198,sh,"She hated me, Mr. Holmes. She hated me with all the fervour of her
     tropical nature. She was a woman who would do nothing by halves, and
     the measure of her love for her husband was the measure also of her
     hatred for me. It is probable that she misunderstood our relations. I
     would not wish to wrong her, but she loved so vividly in a physical
     sense that she could hardly understand the mental, and even
     spiritual, tie which held her husband to me, or imagine that it was
     only my desire to influence his power to good ends which kept me
     under his roof. I can see now that I was wrong. Nothing could justify
     me in remaining where I was a cause of unhappiness, and yet it is
     certain that the unhappiness would have remained even if I had left
     the house."
199,mm,"Not directly, of course. I mean, I had to be a little flustered and explain how I’d put the wrong address on some clothes that I was sending to a charity and could they by any chance tell me if the parcel one of my kind hostesses had brought up there, had been sent off. And a very nice woman there did her best and remembered that it was not the address I was hoping it had been sent to, and she gave me the address that she had noted. She had no suspicion, I think, that I had any wish for the information apart from being—well, rather muddleheaded, elderly, and very worried about where my parcel of worn clothes had gone."
200,sh,"I owe you both my thanks and an apology. It was an unjustifiable
     experiment even for one's self, and doubly so for a friend. I am
     really very sorry."
201,sh,"Quite a little parlour game--sort of
     three-card trick, is it not? There are your three men. It must be one
     of them. You take your choice. Which is yours?"
202,hp,"of the incident this morning when I said to her that the strength was in her will rather than in her arm. It was in the nature of a trap, that remark. I wanted to see if she would look down at her right or her left arm. She did neither. She looked at them both. But she made a strange reply. She said, ‘No, I have no strength in these. I do not know whether to be sorry or glad.’ A curious remark that. It confirms me in my belief about the crime."
203,sh,"Name the sum, and I will pay it."
204,mm,What did you mean by what you said just now?
205,sh,"Yet we added one more sheaf to our harvest before we left Woolwich
     Station. The clerk in the ticket office was able to say with
     confidence that he saw Cadogan West--whom he knew well by sight--upon
     the Monday night, and that he went to London by the 8.15 to London
     Bridge. He was alone and took a single third-class ticket. The clerk
     was struck at the time by his excited and nervous manner. So shaky
     was he that he could hardly pick up his change, and the clerk had
     helped him with it. A reference to the timetable showed that the 8.15
     was the first train which it was possible for West to take after he
     had left the lady about 7.30."
206,sh,"Our client had suddenly burst into the room with an explosive energy
     which told of some new and momentous development."
207,sh,"With great
     activity, considering his bulk, he sprang up the steps and squeezed
     through into the garret, and immediately afterwards we heard his
     exulting voice proclaiming that he had found the trap-door."
